ID,Name,Studio,Rotten,Genre,Domestic,Budget
159,Dragon Wars (aka D-War),Mediaplex,27,Action,10.98,45
160,Dragonball Evolution ,Fox,15,Action,9.36,30
161,Dream House,Morgan Creek Productions,7,Horror,21.30,50
162,Dredd,LGF,78,Action,13.414714,50
163,Drillbit Taylor,Paramount,26,Comedy,32.86,40
164,Drive,Independent,93,Thriller,35.06,15
165,Drive Angry,Independent,45,Action,10.72,45
166,Due Date,Warner Bros.,40,Comedy,100.54,50
167,Duplicity ,Universal,64,Romance,40.57,60
168,Dylan Dog: Dead of Night,Independent,6,Horror,1.19,20
169,Eagle Eye,Paramount,27,Action,101.44,80
170,Easy A,Sony,85,Comedy,58.40,8
171,Eat Pray Love,Sony,36,Drama,80.57,60
172,Elysium,TriStar,68,Action,93.050117,115
173,Enchanted,Disney,93,Comedy,127.81,60
174,Ender's Game,Lionsgate / Summit,61,Action,61.737191,110
175,Enough Said,Fox Searchlight,96,Comedy,17.550872,8
176,Epic,Fox,64,Adventure,107.518682,100
177,Epic Movie,Independent,2,Comedy,39.74,75
178,Escape Plan,Lionsgate / Summit,49,Action,25.132228,50
179,Evan Almighty,Universal,23,Comedy,100.46,65
180,Everybody's Fine ,Miramax,46,Drama,9.20,21
181,Everything Must Go,Reliance Entertainment,74,Drama,2.71,5
182,Evil Dead,TriStar,62,Horror,54.239856,17
183,Expelled: No Intelligence Allowed,,10,Documentary,7.72,3.5
184,Extract ,Miramax,62,Comedy,10.80,7.5
185,Extraordinary Measures,CBS,27,Drama,12.07,31
186,Extremely Loud and Incredibly Close,Warner Bros.,47,Drama,31.85,40
187,Fame,MGM,25,Comedy,22.46,18
188,Fantastic Four: Rise of the Silver Surfer,Fox,35,Action,131.92,19
189,Fantastic Mr. Fox ,Fox,93,Animation,21.00,40
190,Fast & Furious 6,Universal,69,Action,238.67985,160
191,Fast and Furious ,Universal,28,Action,155.10,85
192,Fast Five,Universal,78,Action,209.40,125
193,Faster,CBS,41,Action,23.24,24
194,Final Destination 5,New Line Cinema,61,Horror,42.59,40
195,Fired Up! ,Independent,22,Comedy,17.20,20
196,Fireproof,Independent,40,Drama,33.46,0.5
197,First Sunday,Sony,13,Comedy,37.93,13
198,Flight,Par.,78,Drama,93.772375,31
199,Fool's Gold,Warner Bros.,11,Adventure,70.23,72.5
200,Footloose,Spyglass Entertainment,71,Drama,51.80,24
201,For Colored Girls,Independent,33,Drama,37.73,21
202,Forgetting Sarah Marshall,Independent,85,Comedy,63.17,30
203,Four Christmases,Warner Bros.,26,Comedy,120.15,80
204,Frances Ha,IFC,93,Comedy,4.066582,7
205,Frankenweenie,BV,87,Animation,35.291068,39
206,Free Birds,Relativity,18,Animation,55.43549,55
207,Friday the 13th,Paramount,25,Horror,65.00,19
208,Friends With Benefits,Warner Bros,71,Romance,55.80,35
209,Fright Night,DreamWorks,75,Horror,18.30,30
210,From Paris with Love,Independent,38,Action,24.08,52
211,Frozen,Buena Vista,89,Animation,347.899011,150
212,Fruitvale Station,Weinstein,94,Drama,16.101339,1
213,Funny People ,Universal,68,Comedy,51.85,75
214,Furry Vengeance,Summit,8,Comedy,17.63,35
215,G-Force ,Disney,22,Action,119.40,150
216,G.I. Joe: Retaliation,Paramount,28,Action,122.52306,130
217,G.I. Joe: The Rise of Cobra ,Paramount,33,Action,150.20,175
218,Gamer ,Lionsgate,29,Action,20.53,12.5
219,Gangster Squad,Warner Bros,32,Action,46.000903,60
220,Get Him to the Greek,Universal,73,Comedy,60.97,40
221,Get Smart,Warner Bros.,51,Action,130.32,80
222,Getaway,Warner Bros,2,Action,10.501938,18
223,Ghost Rider,Sony,28,Action,115.80,35
224,Ghost Rider: Spirit of Vengeance,Sony,17,Action,51.774002,57
225,Ghost Town,Paramount,85,Comedy,13.37,20
226,Ghosts of Girlfriends Past ,Warner Bros.,27,Comedy,55.25,50
227,Girl Most Likely,Roadside Attractions,20,Comedy,1.378591,60
228,Gnomeo and Juliet,Disney,56,Animation,99.97,36
229,Going the Distance,Warner Bros.,53,Comedy,17.80,32
230,Good Luck Chuck,Lionsgate,3,Comedy,35.02,61
231,Gran Torino,Warner Bros.,80,Drama,148.10,33
232,Gravity,Warner Bros,97,Drama,261.208962,100
233,Green Lantern,Warner Bros,27,Action,116.60,200
234,Green Zone,Universal,53,Action,35.05,100
235,Grindhouse,The Weinstein Company,82,Action,25.04,2
236,Grown Ups,Independent,10,Comedy,162.00,80
237,Grown Ups 2,Sony,7,Comedy,133.668525,80
238,Grudge Match,Warner Bros,28,Comedy,29.236293,40
239,Gulliver's Travels,Fox,21,Comedy,42.78,112
240,Hairspray,Warner Bros.,92,Musical,118.87,50
241,Hall Pass,Warner Bros,35,Comedy,45.06,36
242,Halloween,The Weinstein Company,26,Horror,58.27,32
243,Halloween II,Independent,20,Horror,33.39,15
244,Hancock,Sony,40,Action,227.95,150
245,Hanna,Universal,71,Action,40.26,30
246,Hannah Montana: The Movie ,Disney,44,Comedy,79.58,35
247,Hansel & Gretel,Paramount,15,Horror,55.703475,50
248,Happily N'Ever After,Lionsgate,4,Animation,15.59,15
249,Happy Feet 2,Village Roadshow Pictures,41,Animation,64.01,135
250,Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,Adventure,38.11,12
251,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,Adventure,295.00,125
252,Harry Potter and the Half-Blood Prince ,Warner Bros.,83,Adventure,302.00,250
253,Harry Potter and the Order of the Phoenix,Warner Bros.,78,Adventure,292.00,150
254,Haywire,Rela.,80,Action,18.942396,23
255,He's Just Not That Into You ,Warner Bros.,42,Comedy,93.95,25
256,Hellboy II: The Golden Army,Universal,87,Action,75.99,82.5
257,Her,Warner Bros,94,Drama,24.124034,23
